Store,Address,Hours,Notes
QFC," 8400 35th Ave NE, Seattle, WA 98115", Mon-Sun: 9 am to 7 pm ,
QFC," 11100 Roosevelt Way NE, Seattle, WA 98125", Mon-Sun: 9 am to 8 pm,
Safeway," 4732 Brooklyn Ave NE, Seattle, WA 98105", Mon-Sun: 11 am to 8 pm,
Safeway," 7300 Roosevelt Way NE, Seattle, WA 98115", Mon-Sun: 9 am to 9 pm,
Safeway," 7340 35th Ave NE, Seattle, WA 98115", Mon-Sun: 10 am to 8 pm,
Safeway," 8704 Greenwood Ave N, Seattle, WA 98103", Mon-Sun: 9 am to 9 pm  ,
Safeway," 12318 15th Ave NE, Seattle, WA 98125", Mon-Sun: 9 am to 9 pm  ,
QFC," 600 NW Richmond Beach Rd, Shoreline, WA 98177", Mon-Sun: 11 am to 7 pm,
Safeway," 17202 15th Ave NE, Seattle, WA 98155", Mon-Sun: 10 am to 9 pm,
Vashon Thriftway," 9740 SW Bank Road, Vashon, WA 98070", Mon-Sun: 8 am to 9 pm,
Safeway," 19150 NE Woodinville Duvall Rd, Woodinville, WA 98072", Mon-Sun: 9 am to 9 pm ,
